bc,optim,lr,N,M,T,N_star
0.0,Adam,0.05,2,100,100,True
0.0,Adam,0.05,100,2,100,False
0.0,Adam,0.05,20,10,100,False
0.0,Adam,0.05,2,100,100,False
0.0,Adam,0.01,2,100,100,True
0.0,Adam,0.01,100,2,100,False
0.0,Adam,0.01,20,10,100,False
0.0,Adam,0.01,2,100,100,False
0.0,Adam,0.001,2,100,100,True
0.0,Adam,0.001,100,2,100,False
0.0,Adam,0.001,20,10,100,False
0.0,Adam,0.001,2,100,100,False
0.0,Adam,0.0005,2,100,100,True
0.0,Adam,0.0005,100,2,100,False
0.0,Adam,0.0005,20,10,100,False
0.0,Adam,0.0005,2,100,100,False
